Names,OpenAlex Ids,DimensionAI Ids
kirsten bibbins-domingo,['A5086681800'],['ur.010620043557.11']
catherine bollard,"['A5007455653', 'A5006134549']",['ur.01125327571.07']
marcus bosenberg,['A5076813249'],['ur.0661634627.36']
russ carstens,"['A5052379132','A5028064851']",['ur.011070650007.71']
juan celedon,['A5084711448'],['ur.01210111627.99']
benjamin chen,['A5026884851'],['ur.01173627414.69']
emily cheng,['A5061030806'],['ur.014240332477.14']
charleen chu,"['A5052900523', 'A5060252949']",['ur.07665720167.12']
john chute,['A5083678047'],['ur.014706774767.94']
edward sander connolly,"['A5033495424', 'A5056211043', 'A5027662063', 'A5035867108', 'A5008744180', 'A5076978017','A5020091499']",['ur.01173232612.67']
jonathan dranoff,['A5033862323'],['ur.0703642674.64']
raymond adams dudley,"['A5052786052', 'A5083002948', 'A5025937635']",['ur.0604413006.33']
charles eberhart,['A5019028542'],['ur.0775321062.58']
charles esmon,"['A5056607779', 'A5090845976']",['ur.01065507416.27']
francisco esteva,['A5087724207'],['ur.01130347417.06']
nikolaos frangogiannis,['A5076301308'],['ur.01255200715.86']
ali gharavi,['A5085511376'],['ur.012203472074.86']
maura gillison,"['A5021460635', 'A5076901251']",['ur.01106271435.77']
paul goepfert,['A5025852667'],['ur.0625272302.13']
daniel goldstein,['A5028923883'],['ur.01310116146.23']
laura haneline,['A5089469349'],['ur.0711517452.48']
tzung hsiai,"['A5081322672', 'A5022877968']",['ur.01134672503.93']
james hsieh,['A5021734597'],['ur.0631053106.24']
linden hu,['A5058915340'],['ur.01333042221.11']
terrie inder,"['A5018384713', 'A5072261551']",['ur.0620674221.66']
raghu kalluri,"['A5002964575','A5004654560']",['ur.0714371057.61']
bjorn knollmann,['A5064477997'],['ur.015045506007.80']
andrew kung,"['A5059247439', 'A5046655874']",['ur.01041700036.85']
james lewis,['A5041936168'],['ur.015262716107.02']
gary luker,"['A5059771748', 'A5054691505']",['ur.0727657075.71']
richard malley,['A5072804304'],['ur.0740376070.63']
mehrdad matloubian,['A5021893294'],['ur.0772745010.90']
franck mauvais-jarvis,['A5051767029'],['ur.0703373116.16']
raghavendra mirmira,"['A5080919088', 'A5031560696']",['ur.0762775110.66']
joshua nosanchuk,['A5001312410'],['ur.015756017657.79']
lucila ohno-machado,['A5084415954'],['ur.01143047214.87']
hideho okada,['A5058793243'],['ur.0741146020.92']
jordan orange,"['A5069051471', 'A5050149362']",['ur.0774334672.45']
jonathan powell,"['A5027585674', 'A5082879588']",['ur.01162106561.71']
sridhar ramaswamy,['A5032742387'],['ur.01022315720.67']
muredach reilly,"['A5026776682', 'A5086274424']",['ur.013551442357.17']
jeremy reiter,['A5068565988'],['ur.01174455631.12']
charles roberts,['A5068380379'],['ur.012404741132.65']
william robinson,['A5014721829'],['ur.01036436624.26']
evan rosen,['A5000661697'],['ur.01307371374.44']
charles rudin,['A5049524331'],['ur.0712434301.07']
ida sim,['A5088317099'],['ur.01202263115.16']
upinder singh,['A5062822575'],['ur.01061572211.26']
rhonda souza,['A5033515076'],['ur.0751006274.35']
kimberly stegmaier,['A5011985711'],['ur.01323203047.64']
constantine stratakis,['A5031897654'],['ur.011151216517.08']
john tisdale,['A5001134935'],['ur.01206574465.13']
thomas wang,['A5085451281'],['ur.01024164315.00']
myles wolf,"['A5008906136', 'A5022777612']",['ur.0652523657.55']
alan yu,['A5048311675'],['ur.015100501062.34']
