Name,ID
Aubrey Morrison,['ur.01113146030.98']
Carl Pepine,['ur.013762667337.28']
Arnold Postlethwaite,['ur.01055556723.00']
Alex Rabinovitch,['ur.01346240462.26']
Elliot Rayfield,['ur.01207552345.57']
Arleen Rifkind,['ur.0621030446.00']
Morris Schambelan,['ur.0102433731.31']
Eugene Straus,['ur.01002251711.59']
Bevra Hahn,['ur.07513071212.08']
Carl Nathan,['ur.0740455253.29']
Zalman Agus,['ur.01332355273.62']
Carl Apstein,['ur.01225171763.21']
Jay Berzofsky,['ur.01043742346.49']
Barton Haynes,['ur.012332732537.73']
Carl Leier,['ur.015572344117.13']
Meyer Lifschitz,['ur.0734220567.62']
James Niedel,['ur.01043015516.87']
John Repine,['ur.012226113657.42']
Anton Schoolwerth,['ur.01260062126.48']
Sanford Shattil,['ur.0103102412.32']
F. Toback,['ur.0741330002.15']
George Wilner,['ur.01140220037.74']
Allan Wolkoff,['ur.01136354062.19']
Stephen Zinner,['ur.01021210130.06']
Thomas Lawley,['ur.01133451070.97']
Itamar Abrass,['ur.0737034617.62']
Robert Bast Jr.,['ur.012331422137.36']
Barry Festoff,['ur.052772662.71']
Fred Finkelman,['ur.0652635006.60']
Curt Freed,['ur.01140751111.99']
Harvey Golomb,['ur.01152404751.28']
Charles Homcy,['ur.064446050.15']
Mae Hultin,['ur.01112364336.85']
Vanda Lennon,['ur.0575723637.50']
Thurman McKinney,['ur.01305767605.92']
Bruce Nisula,['ur.0665544671.41']
Ivor Royston,['ur.01125066005.24']
Glen Van Loon,['ur.0656712353.96']
Ronald Whisler,['ur.0657415202.19']
Reed Wickner,['ur.0711651377.29']
Iekuni Ichikawa,['ur.0716254467.38']
Douglas Cines,['ur.0677731563.23']
Martin Cogan,['ur.0731357426.44']
Theodore Gabig,['ur.01072513462.18']
Louis Lange,['ur.01126051654.01']
Mercio Perrin,['ur.01361155126.55']
Zaverio Ruggeri,['ur.0610325312.98']
Allen Steere,['ur.01052600064.98']
William Stenson,['ur.01101357510.82']
Jimmie Sylvester,['ur.0733263207.26']
Robert Yolken,['ur.015256461622.27']
Ernesto Canalis,['ur.01246623425.29']
Clifton Bogardus,['ur.01346142621.31']
Kiertisin Dharmsathaphorn,['ur.01015651621.72']
Boris Draznin,['ur.01151345414.67']
Leslie Hillis,['ur.01242325500.75']
Marguerite Kay,['ur.011411421337.71']
Stanley Korsmeyer,['ur.01060743620.36']
Anne Nicholson-Weller,['ur.01112475503.47']
Jerry Radziuk,['ur.01160751167.95']
Edward Shortliffe,['ur.01302067362.24']
Jess Thoene,['ur.01225466430.62']
Allan Pack,['ur.014136312017.32']
Bennett Blitzer,['ur.01142616362.27']
Gerry Boss,['ur.01217032657.75']
Gary Brittenham,['ur.0653017245.35']
Dan Granoff,['ur.0664252775.48']
Henry Hulter,['ur.0111510653.49']
Vishwanath Lingappa,['ur.01146211452.37']
Virginia Savin,['ur.011164443717.74']
Arthur Slutsky,['ur.0676632646.68']
Frederick Southwick,['ur.01350703006.10']
Joseph Verbalis,['ur.01157327243.98']
Samuel Santoro,['ur.01345531157.31']
Greti Aguilera,['ur.01307740237.22']
Celso Gomez-Sanchez,['ur.015105677677.40']
Mark Knepper,['ur.01321354236.49']
Roger Perlmutter,['ur.01072037264.42']
Salvatore Pizzo,['ur.01216472205.69']
Kenneth Polonsky,['ur.01221713604.51']
Paul Sondel,['ur.01101570400.85']
Howard Welgus,['ur.065230134.38']
Mark Zern,['ur.01201656612.94']
Lee Nadler,['ur.0753443440.69']
Christine Abrass,['ur.0702771071.12']
David Benditt,['ur.01175471261.07']
Loran Clement,['ur.01267651242.46']
Andre De Troyer,['ur.01110763154.52']
Douglas Faller,['ur.01274361400.12']
James Gadek,['ur.063653037.37']
Jeffrey Kudlow,['ur.0762656205.09']
Henry Masur,['ur.01255302340.86']
Phillip Pizzo,['ur.012563065204.62']
Edward Prochownik,['ur.015016321337.89']
William Scheld,['ur.01271341606.29']
James Shelhamer,['ur.01034525706.01']
Manikkam Suthanthiran,['ur.01055764270.32']
William Tamborlane,['ur.014041244377.34']
Owen Witte,['ur.0721120124.57']
Wishwa Kapoor,['ur.01254045526.51']
